name,url,source
9 Chiu Lung Street昭隆街9號,/building/9-chiu-lung-street/4451,direct_link
9 Chong Yip Street創業街9號,/building/9-chong-yip-street/7337,direct_link
9 Des Voeux Road West德輔道西9號,/building/9-des-voeux-road-west/846,direct_link
9 Po Lun Street寶輪街9號,/building/9-po-lun-street/16429,direct_link
9 Queen's Road Central皇后大道中9號,/building/9-queen-s-road-central/139,direct_link
9 Wing Hong Street永康街九號,/building/9-wing-hong-street/5555,direct_link
909 Cheung Sha Wan Road長沙灣道909號,/building/909-cheung-sha-wan-road/6307,direct_link
91 King Lam Street瓊林街91號,/building/91-king-lam-street/17542,direct_link
92-103A Connaught Road West干諾道西92-103A號,/building/92-103a-connaught-road-west/17576,direct_link
93WYS偉業街93號,/building/93wys/4922,direct_link
99 COMMONS杯渡路99號,/building/99-commons/17476,direct_link
99 Plaza99廣場,/building/99-plaza/7206,direct_link
ACME Building益美大廈,/building/acme-building/7224,direct_link
AIA Building友邦大廈,/building/aia-building/18026,direct_link
AIA Central友邦金融中心,/building/aia-central/115,direct_link
AIA Financial Centre友邦九龍金融中心,/building/aia-financial-centre/6238,direct_link
AIA Hong Kong Tower友邦香港大樓,/building/aia-hong-kong-tower/1674,direct_link
AIA Tower友邦廣場,/building/aia-tower/2773,direct_link
AIE Building亞洲大廈,/building/aie-building/123,direct_link
AOffice46奧創中心,/building/aoffice46/12434,direct_link
AT Tower百加利中心,/building/at-tower/2771,direct_link
AXA Southside安盛匯,/building/axa-southside/3826,direct_link
Abdoolally House鴨都喇利大廈,/building/abdoolally-house/2045,direct_link
Admiralty Centre Tower 1海富中心1座,/building/admiralty-centre-tower-1/1131,direct_link
Admiralty Centre Tower 2海富中心2座,/building/admiralty-centre-tower-2/1130,direct_link
Agricultural Bank of China Tower中國農業銀行大廈,/building/agricultural-bank-of-china-tower/102,direct_link
Airport World Trade Centre機場世貿中心,/building/airport-world-trade-centre/11538,direct_link
Airside,/building/airside/17422,direct_link
Aitken Vanson Centre金米蘭中心,/building/aitken-vanson-centre/5599,direct_link
Albion Plaza愛賓商業大廈,/building/albion-plaza/2618,direct_link
Alexandra House歷山大廈,/building/alexandra-house/1193,direct_link
Alliance Building誠信大廈,/building/alliance-building/117,direct_link
Allied Kajima Building聯合鹿島大廈,/building/allied-kajima-building/1157,direct_link
Allways Centre百達中心,/building/allways-centre/1501,direct_link
Amber Commercial Building凱利商業大廈,/building/amber-commercial-building/2251,direct_link
Amtel Building安泰大廈,/building/amtel-building/51,direct_link
Anglo Chinese Centre中西貿易大廈,/building/anglo-chinese-centre/10254,direct_link
Anton Building安定大廈,/building/anton-building/3804,direct_link
Apec Plaza創貿廣場,/building/apec-plaza/5601,direct_link
Argyle Centre Phase 1旺角中心1期,/building/argyle-centre-phase-1/2988,direct_link
Arion Commercial Centre聯發商業中心,/building/arion-commercial-centre/369,direct_link
Arthur Commercial Building雅達商業大廈,/building/arthur-commercial-building/13567,direct_link
Artist Square Tower 1西九藝術廣場大樓一座,/building/artist-square-tower-1/18136,direct_link
Artist Square Tower 2西九藝術廣場大樓二座,/building/artist-square-tower-2/18137,direct_link
Artist Square Tower 3西九藝術廣場大樓三座,/building/artist-square-tower-3/18138,direct_link
Ashley Nine順豐大廈,/building/ashley-nine/4678,direct_link
Asia Harvest Commercial Centre潤民商業中心,/building/asia-harvest-commercial-centre/13106,direct_link
Asia Standard Tower泛海大廈,/building/asia-standard-tower/146,direct_link
Astoria Building天星大廈,/building/astoria-building/4681,direct_link
Attilio Building艾麗大廈,/building/attilio-building/2973,direct_link
Aubin House安邦商業大廈,/building/aubin-house/1174,direct_link
Austin Commercial Centre柯士甸商業中心,/building/austin-commercial-centre/2743,direct_link
Austin Plaza柯士甸廣場,/building/austin-plaza/2718,direct_link
Austin Tower好兆年行,/building/austin-tower/2738,direct_link
Auto Plaza安達中心,/building/auto-plaza/2664,direct_link
Aveny,/building/aveny/1992,direct_link
BCC Building國際商業信貸銀行大廈,/building/bcc-building/5703,direct_link
BOC Credit Card Centre中銀信用卡中心,/building/boc-credit-card-centre/644,direct_link
BOC Group Life Assurance Tower中銀集團人壽保險大廈,/building/boc-group-life-assurance-tower/34,direct_link
BOC Prince Edward Building中銀太子大樓,/building/boc-prince-edward-building/3015,direct_link
BOC Tsz Wan Shan Building中銀慈雲山大樓,/building/boc-tsz-wan-shan-building/15784,direct_link
BOC Wan Chai Commercial Centre中銀灣仔商業中心,/building/boc-wan-chai-commercial-centre/1389,direct_link
BOC Yuen Long Commercial Centre中銀元朗商業中心,/building/boc-yuen-long-commercial-centre/13735,direct_link
Bai Yun Building白雲大廈,/building/bai-yun-building/7154,direct_link
Bangkok Bank Building盤谷銀行大廈,/building/bangkok-bank-building/3580,direct_link
Bank Tower銀輝中心,/building/bank-tower/1685,direct_link
Bank of America Tower美國銀行中心,/building/bank-of-america-tower/1133,direct_link
Bank of China Building中國銀行大廈,/building/bank-of-china-building/2,direct_link
Bank of China Mongkok Commercial Centre中國銀行(香港)旺角商業大廈,/building/bank-of-china-mongkok-commercial-centre/3045,direct_link
Bank of China Tower中銀大廈,/building/bank-of-china-tower/1295,direct_link
Bank of Communications Building交通銀行大廈,/building/bank-of-communications-building/3040,direct_link
Bank of Communications Tower交通銀行大廈,/building/bank-of-communications-tower/1172,direct_link
Bank of East Asia Building東亞銀行大廈,/building/bank-of-east-asia-building/3,direct_link
Bank of East Asia Harbour View Centre東亞銀行港灣中心,/building/bank-of-east-asia-harbour-view-centre/1160,direct_link
Bank of East Asia Mongkok Building東亞銀行旺角大廈,/building/bank-of-east-asia-mongkok-building/3067,direct_link
Bartlock Centre百樂中心,/building/bartlock-centre/6056,direct_link
Baskerville House樂成行,/building/baskerville-house/1963,direct_link
Bayfield Building彰顯大廈,/building/bayfield-building/1429,direct_link
Beautiful Group Tower標華豐集團大廈,/building/beautiful-group-tower/116,direct_link
Bel Trade Commercial Building百營商業大廈,/building/bel-trade-commercial-building/5778,direct_link
Belgian Bank Building華比銀行大廈,/building/belgian-bank-building/3000,direct_link
Benson Tower明順大廈,/building/benson-tower/4732,direct_link
Berkshire House栢克大廈,/building/berkshire-house/1928,direct_link
Best-O-Best Commercial Centre富利來商業大廈,/building/best-o-best-commercial-centre/6592,direct_link
Beverley Commercial Centre百利商業中心,/building/beverley-commercial-centre/3203,direct_link
Beverly House利臨大廈,/building/beverly-house/996,direct_link
Billion Centre億京中心,/building/billion-centre/4496,direct_link
Billion Plaza II億京廣場2期,/building/billion-plaza-ii/7431,direct_link
Billion Plaza億京廣場,/building/billion-plaza/7437,direct_link
Bio-Informatics Centre - Science Park生物資訊中心,/building/bio-informatics-centre-science-park/11154,direct_link
Biotech Centre - Science Park生物科技中心 - 科技園,/building/biotech-centre-science-park/11153,direct_link
Biotech Centre 2 - Science Park生物科技中心二座  - 科技園,/building/biotech-centre-2-science-park/17310,direct_link
Biz Aura,/building/biz-aura/3411,direct_link
Bizhouse,/building/bizhouse/7946,direct_link
Blissful Building德佑大廈,/building/blissful-building/37,direct_link
Bo Fung Building寶豐大廈,/building/bo-fung-building/5383,direct_link
Bodynits Building波蒂妮斯大廈,/building/bodynits-building/3517,direct_link
Bonham Centre文咸中心,/building/bonham-centre/13652,direct_link
Bonham Commercial Centre南北行商業中心,/building/bonham-commercial-centre/3586,direct_link
Bonham Majoris明大企業集團大廈,/building/bonham-majoris/13653,direct_link
Boss Commercial Centre寶時商業中心,/building/boss-commercial-centre/6591,direct_link
Boton Technology Innovation Tower波頓科創中心,/building/boton-technology-innovation-tower/17446,direct_link
Bowa House寶華商業大廈,/building/bowa-house/2948,direct_link
Bowring Centre寶靈商業中心,/building/bowring-centre/6678,direct_link
Breakthrough Centre突破中心,/building/breakthrough-centre/6679,direct_link
Bright Growth Medical Centre高怡醫務中心,/building/bright-growth-medical-centre/2935,direct_link
Bright Way Tower凱途發展大廈,/building/bright-way-tower/6557,direct_link
Brill Plaza環凱廣場,/building/brill-plaza/5312,direct_link
Buckingham Building金漢大廈,/building/buckingham-building/2908,direct_link
Bulkin Centre龐堅中心,/building/bulkin-centre/5410,direct_link
Bupa Centre保柏中心,/building/bupa-centre/643,direct_link
C Wisdom Centre泉威中心,/building/c-wisdom-centre/3614,direct_link
C-BONS International Center絲寶國際大廈,/building/c-bons-international-center/4968,direct_link
C.C. Wu Building集成中心,/building/c-c-wu-building/1374,direct_link
C.L.I. Building中國人壽大廈,/building/c-l-i-building/1394,direct_link
CCB Tower中國建設銀行大廈,/building/ccb-tower/99,direct_link
CDW Building中染大廈,/building/cdw-building/13711,direct_link
CFC Tower中福商業大廈,/building/cfc-tower/2655,direct_link
CITIC  Telecom Tower中信電訊大廈,/building/citic-telecom-tower/7628,direct_link
CITIC Tower中信大廈,/building/citic-tower/6180,direct_link
CKK Commercial Centre朱鈞記商業中心,/building/ckk-commercial-centre/1403,direct_link
CMA Building香港中華廠商聯合會大廈,/building/cma-building/133,direct_link
CMB Wing Lung Bank Building招商永隆銀行大廈,/building/cmb-wing-lung-bank-building/65,direct_link
CMB Wing Lung Bank Centre招商永隆銀行中心,/building/cmb-wing-lung-bank-centre/2953,direct_link
CNAC House中航大廈,/building/cnac-house/16882,direct_link
CNT Commercial Building北海商業大廈,/building/cnt-commercial-building/189,direct_link
CNT House宜興大廈,/building/cnt-house/1579,direct_link
CNT Tower北海中心,/building/cnt-tower/1380,direct_link
COS Centre中海日升中心,/building/cos-centre/7182,direct_link
CS Tower昌盛大廈,/building/cs-tower/2526,direct_link
CTF Life Tower周大福保險中心,/building/ctf-life-tower/15091,direct_link
CTG House中旅集團大廈,/building/ctg-house/121,direct_link
CTMA Centre兆萬中心,/building/ctma-centre/7269,direct_link
Caltex House德士古大廈,/building/caltex-house/1375,direct_link
Cambridge House康橋大廈,/building/cambridge-house/1661,direct_link
Cambridge House金壘商業中心,/building/cambridge-house/3507,direct_link
Camelpaint Centre駱駝漆中心,/building/camelpaint-centre/7882,direct_link
Cameron Centre金馬倫中心,/building/cameron-centre/3200,direct_link
Cameron Commercial Centre金聯商業中心,/building/cameron-commercial-centre/1376,direct_link
Cameron Plaza金馬倫廣場,/building/cameron-plaza/3510,direct_link
Cammer Commercial Building金馬商業大廈,/building/cammer-commercial-building/3518,direct_link
Canton House豐樂行,/building/canton-house/267,direct_link
Canton Plaza廣建中心,/building/canton-plaza/2389,direct_link
Capital Centre資本中心,/building/capital-centre/1152,direct_link
Capital Commercial Building凱基商業大廈,/building/capital-commercial-building/1075,direct_link
Capital Commercial Building富達商業大廈,/building/capital-commercial-building/5189,direct_link
Capital Tower富臨中心,/building/capital-tower/4932,direct_link
Capitol Centre Two京華中心二座,/building/capitol-centre-two/880,direct_link
Capitol Centre京華中心,/building/capitol-centre/852,direct_link
Capri Building嘉碧大廈,/building/capri-building/2711,direct_link
Capricorn Centre嘉康中心,/building/capricorn-centre/7350,direct_link
Car Po Commercial Building嘉寶商業大廈,/building/car-po-commercial-building/3737,direct_link
Carfield Commercial Building嘉兆商業大廈,/building/carfield-commercial-building/1968,direct_link
Carnarvon Plaza加拿芬廣場,/building/carnarvon-plaza/5706,direct_link
Carnival Commercial Building嘉匯商業大廈,/building/carnival-commercial-building/1904,direct_link
Casey Aberdeen House啟時深灣大廈,/building/casey-aberdeen-house/11523,direct_link
Casey Building啟時大廈,/building/casey-building/4260,direct_link
Cathay City國泰城,/building/cathay-city/7268,direct_link
Cathay House國泰坊,/building/cathay-house/16881,direct_link
Catic Plaza航空大廈,/building/catic-plaza/3174,direct_link
Causeway Bay Centre銅鑼灣中心,/building/causeway-bay-centre/2547,direct_link
Causeway Bay Commercial Building銅鑼灣商業大廈,/building/causeway-bay-commercial-building/2546,direct_link
Causeway Bay Plaza 1銅鑼灣廣場1期,/building/causeway-bay-plaza-1/1384,direct_link
Causeway Bay Plaza 2銅鑼灣廣場2期,/building/causeway-bay-plaza-2/977,direct_link
Celebrity Commercial Centre名人商業中心,/building/celebrity-commercial-centre/3305,direct_link
Central 88中環88,/building/central-88/58,direct_link
Central Building中建大廈,/building/central-building/1282,direct_link
Central Commercial Tower中匯商業大廈,/building/central-commercial-tower/2961,direct_link
Central Crossing匯中環,/building/central-crossing/1215,direct_link
Central Plaza中環廣場,/building/central-plaza/2007,direct_link
Central Tower中匯大廈,/building/central-tower/145,direct_link
Centre Mark II永業中心,/building/centre-mark-ii/173,direct_link
Centre Parc新明大廈,/building/centre-parc/15092,direct_link
Centre Point中怡大廈,/building/centre-point/1153,direct_link
Century House世紀商業大廈,/building/century-house/6852,direct_link
