Building Name,Address,Detail URL
Hk Ind Ctr Blk A,489-491 Castle Peak Road,https://www.midlandici.com.hk/ics/property/building/details/B000007915/Hk-Ind-Ctr-Blk-A
Hk Ind Ctr Blk B,489-491 Castle Peak Road,https://www.midlandici.com.hk/ics/property/building/details/B000007916/Hk-Ind-Ctr-Blk-B
Hk Ind Ctr Blk C,489-491 Castle Peak Road,https://www.midlandici.com.hk/ics/property/building/details/B000007918/Hk-Ind-Ctr-Blk-C
"Hk Spinners Ind Bldg (1,2)",601-603 Tai Nan West Street,https://www.midlandici.com.hk/ics/property/building/details/B000007924/Hk-Spinners-Ind-Bldg--1-2-
Hk Spinners Ind Bldg (5),760 Cheung Sha Wan Road,https://www.midlandici.com.hk/ics/property/building/details/B000007929/Hk-Spinners-Ind-Bldg--5-
Hk Spinners Ind Bldg (6),481 Castle Peak Road,https://www.midlandici.com.hk/ics/property/building/details/B000007930/Hk-Spinners-Ind-Bldg--6-
Hop Hing Ind Bldg,704 Castle Peak Road,https://www.midlandici.com.hk/ics/property/building/details/B000007237/Hop-Hing-Ind-Bldg
Hung Cheong Fty Bldg,3 Kwong Cheung Street,https://www.midlandici.com.hk/ics/property/building/details/B000020168/Hung-Cheong-Fty-Bldg
Ka To Fty Bldg,2 Cheung Yue Street,https://www.midlandici.com.hk/ics/property/building/details/B000007238/Ka-To-Fty-Bldg
Kimberland Centre,55 Wing Hong Street,https://www.midlandici.com.hk/ics/property/building/details/B000081953/Kimberland-Centre
Kowloon Plaza,485 Castle Peak Road,https://www.midlandici.com.hk/ics/property/building/details/B000007230/Kowloon-Plaza
Kwong Tai Fty Bldg,750 Cheung Sha Wan Road,https://www.midlandici.com.hk/ics/property/building/details/B000021021/Kwong-Tai-Fty-Bldg
Long To Bldg,654-656 Castle Peak Road,https://www.midlandici.com.hk/ics/property/building/details/B000021421/Long-To-Bldg
Luen Hing Fty Bldg,109 King Lam Street,https://www.midlandici.com.hk/ics/property/building/details/B000021477/Luen-Hing-Fty-Bldg
New Timely Fty Bldg,497 Castle Peak Road,https://www.midlandici.com.hk/ics/property/building/details/B000022098/New-Timely-Fty-Bldg
One Two One,121 King Lam Street,https://www.midlandici.com.hk/ics/property/building/details/B000101679/One-Two-One
Orient International Tower,1018 Tai Nan West Street,https://www.midlandici.com.hk/ics/property/building/details/B000094024/Orient-International-Tower
Precious Ind Ctr,18 Cheung Yue Street,https://www.midlandici.com.hk/ics/property/building/details/B000022746/Precious-Ind-Ctr
Premier Ctr,20 Cheung Shun Street,https://www.midlandici.com.hk/ics/property/building/details/B000007229/Premier-Ctr
Prowell Asia Centre,926 Cheung Sha Wan Road,https://www.midlandici.com.hk/ics/property/building/details/B000094023/Prowell-Asia-Centre
Siu Wai Ind Ctr,29-33 Wing Hong Street,https://www.midlandici.com.hk/ics/property/building/details/B000007231/Siu-Wai-Ind-Ctr
Sterling Ctr,11 Cheung Yue Street,https://www.midlandici.com.hk/ics/property/building/details/B000007232/Sterling-Ctr
Tai Shing Factory Building,273-279 Un Chau Street,https://www.midlandici.com.hk/ics/property/building/details/B000077739/Tai-Shing-Factory-Building
The Globe,79 Wing Hong Street,https://www.midlandici.com.hk/ics/property/building/details/B000054388/The-Globe
Trust Ctr,912-914 Cheung Sha Wan Road,https://www.midlandici.com.hk/ics/property/building/details/B000007234/Trust-Ctr
Verde Heights,No 550 Castle Peak Road,https://www.midlandici.com.hk/ics/property/building/details/B000122544/Verde-Heights
Vita Green Tower,918 Cheung Sha Wan Road,https://www.midlandici.com.hk/ics/property/building/details/B000094022/Vita-Green-Tower
Vogue Ctr,696 Castle Peak Road,https://www.midlandici.com.hk/ics/property/building/details/B000007235/Vogue-Ctr
W668,668-680 Castle Peak Road,https://www.midlandici.com.hk/ics/property/building/details/B000081664/W668
Wah Shing Ind Bldg,18 Cheung Shun Street,https://www.midlandici.com.hk/ics/property/building/details/B000024612/Wah-Shing-Ind-Bldg
Wing Hong Ctr,18 Wing Hong Street,https://www.midlandici.com.hk/ics/property/building/details/B000007236/Wing-Hong-Ctr
Yee Tak Fty Bldg,42 Wing Hong Street,https://www.midlandici.com.hk/ics/property/building/details/B000025310/Yee-Tak-Fty-Bldg
Ying Tung Industrial Building,802 Lai Chi Kok Road,https://www.midlandici.com.hk/ics/property/building/details/B000025402/Ying-Tung-Industrial-Building
Yuen Shing Ind Bldg,1033 Yee Kuk Street West,https://www.midlandici.com.hk/ics/property/building/details/B000025555/Yuen-Shing-Ind-Bldg
Eldex Ind Bldg,21 Ma Tau Wai Road,https://www.midlandici.com.hk/ics/property/building/details/B000007488/Eldex-Ind-Bldg
Focal Ind Ctr - A,21 Man Lok Street,https://www.midlandici.com.hk/ics/property/building/details/B000007768/Focal-Ind-Ctr---A
Focal Ind Ctr - B,21 Man Lok Street,https://www.midlandici.com.hk/ics/property/building/details/B000007769/Focal-Ind-Ctr---B
Fu Hang Industrial Building,1 Hok Yuen Street East,https://www.midlandici.com.hk/ics/property/building/details/B000007485/Fu-Hang-Industrial-Building
Gemstar Tower,23 Man Lok Street,https://www.midlandici.com.hk/ics/property/building/details/B000007087/Gemstar-Tower
Guardforce Centre,3 Hok Yuen Street East,https://www.midlandici.com.hk/ics/property/building/details/B000007489/Guardforce-Centre
Harbour Ctr Tower 1,1 Hok Cheung Street,https://www.midlandici.com.hk/ics/property/building/details/B000007891/Harbour-Ctr-Tower-1
Harbour Ctr Tower 2,8 Hok Cheung Street,https://www.midlandici.com.hk/ics/property/building/details/B000007892/Harbour-Ctr-Tower-2
Heng Ngai Jewelry Ctr,4 Hok Yuen Street East,https://www.midlandici.com.hk/ics/property/building/details/B000019657/Heng-Ngai-Jewelry-Ctr
Hilder Ctr,2 Sung Ping Street,https://www.midlandici.com.hk/ics/property/building/details/B000007486/Hilder-Ctr
Kaiser Estate Phase 1,37-45 Man Yue Street,https://www.midlandici.com.hk/ics/property/building/details/B000054107/Kaiser-Estate-Phase-1
Kaiser Estate Phase 2,47-53 Man Yue Street,https://www.midlandici.com.hk/ics/property/building/details/B000007168/Kaiser-Estate-Phase-2
Kaiser Estate Phase 3,9-11a Hok Yuen Street,https://www.midlandici.com.hk/ics/property/building/details/B000007169/Kaiser-Estate-Phase-3
New Lee Wah Centre,88 To Kwa Wan Road,https://www.midlandici.com.hk/ics/property/building/details/B000022089/New-Lee-Wah-Centre
Sui Ying Ind Bldg,1 Yuk Yat Street,https://www.midlandici.com.hk/ics/property/building/details/B000023549/Sui-Ying-Ind-Bldg
Winner Bldg,32-40 Man Yue Street,https://www.midlandici.com.hk/ics/property/building/details/B000056050/Winner-Bldg
Canny Ind Bldg,33 Tai Yau Street,https://www.midlandici.com.hk/ics/property/building/details/B000018309/Canny-Ind-Bldg
Horizon East,1 Tsat Po Street,https://www.midlandici.com.hk/ics/property/building/details/B000103151/Horizon-East
Laurels Ind Ctr,32 Tai Yau Street,https://www.midlandici.com.hk/ics/property/building/details/B000021164/Laurels-Ind-Ctr
Luk Hop Ind Bldg,8 Luk Hop Street,https://www.midlandici.com.hk/ics/property/building/details/B000021509/Luk-Hop-Ind-Bldg
Max Trade Ctr,23 Luk Hop Street,https://www.midlandici.com.hk/ics/property/building/details/B000021792/Max-Trade-Ctr
Midas Plaza,1 Tai Yau Street,https://www.midlandici.com.hk/ics/property/building/details/B000062682/Midas-Plaza
New Tech Plaza,34 Tai Yau Street,https://www.midlandici.com.hk/ics/property/building/details/B000022097/New-Tech-Plaza
New Trend Ctr,704 Prince Edward Road East,https://www.midlandici.com.hk/ics/property/building/details/B000022103/New-Trend-Ctr
Wing Sum 2nd Ind Bldg,12-14 Sam Chuk Street,https://www.midlandici.com.hk/ics/property/building/details/B000025014/Wing-Sum-2nd-Ind-Bldg
Wong King Ind Bldg,192 Choi Hung Road,https://www.midlandici.com.hk/ics/property/building/details/B000025128/Wong-King-Ind-Bldg
1 Hung To Road,1 Hung To Road,https://www.midlandici.com.hk/ics/property/building/details/B000007896/1-Hung-To-Road
Air Goal Cargo Bldg,330 Kwun Tong Road,https://www.midlandici.com.hk/ics/property/building/details/B000018063/Air-Goal-Cargo-Bldg
Apec Plaza,49 Hoi Yuen Road,https://www.midlandici.com.hk/ics/property/building/details/B000007098/Apec-Plaza
Assun Pacific Center,41 Tsun Yip Street,https://www.midlandici.com.hk/ics/property/building/details/B000007501/Assun-Pacific-Center
Billion Trade Ctr,31 Hung To Road,https://www.midlandici.com.hk/ics/property/building/details/B000007046/Billion-Trade-Ctr
Camelpaint Bldg Blk 1,62 Hoi Yuen Road,https://www.midlandici.com.hk/ics/property/building/details/B000007776/Camelpaint-Bldg-Blk-1
Camelpaint Bldg Blk 2,62 Hoi Yuen Road,https://www.midlandici.com.hk/ics/property/building/details/B000007777/Camelpaint-Bldg-Blk-2
Camelpaint Bldg Blk 3,60 Hoi Yuen Road,https://www.midlandici.com.hk/ics/property/building/details/B000007778/Camelpaint-Bldg-Blk-3
Cantake Fty Bldg,172 Wai Yip Street,https://www.midlandici.com.hk/ics/property/building/details/B000018311/Cantake-Fty-Bldg
Capital Trade Ctr,62 Tsun Yip Street,https://www.midlandici.com.hk/ics/property/building/details/B000007100/Capital-Trade-Ctr
Century Ctr,44-46 Hung To Road,https://www.midlandici.com.hk/ics/property/building/details/B000007102/Century-Ctr
Cfc - Catic Bldg,44 Tsun Yip Street,https://www.midlandici.com.hk/ics/property/building/details/B000007841/Cfc---Catic-Bldg
Cheung Hing Ind Bldg (kt),23 Tai Yip Street,https://www.midlandici.com.hk/ics/property/building/details/B000018505/Cheung-Hing-Ind-Bldg--kt-
China Trade Ctr,122-124 Wai Yip Street,https://www.midlandici.com.hk/ics/property/building/details/B000007104/China-Trade-Ctr
Chuan Yuan Fty Bldg,342-344 Kwun Tong Road,https://www.midlandici.com.hk/ics/property/building/details/B000018709/Chuan-Yuan-Fty-Bldg
Chung Mei Ind Ctr,15 Hing Yip Street,https://www.midlandici.com.hk/ics/property/building/details/B000007831/Chung-Mei-Ind-Ctr
Chung Mei Ind Ctr Blk B,15 Hing Yip Street,https://www.midlandici.com.hk/ics/property/building/details/B000007832/Chung-Mei-Ind-Ctr-Blk-B
Continental Electric Bldg,17 Wang Chiu Road,https://www.midlandici.com.hk/ics/property/building/details/B000059602/Continental-Electric-Bldg
Core 45,43-45 Tsun Yip Street,https://www.midlandici.com.hk/ics/property/building/details/B000084208/Core-45
Crown Ind Bldg,106 How Ming Street,https://www.midlandici.com.hk/ics/property/building/details/B000007492/Crown-Ind-Bldg
D J Bldg,173 Hoi Bun Road,https://www.midlandici.com.hk/ics/property/building/details/B000018911/D-J-Bldg
Dah Way Industrial Building,86 Hung To Road,https://www.midlandici.com.hk/ics/property/building/details/B000018915/Dah-Way-Industrial-Building
Entrepot Ctr,117 How Ming Street,https://www.midlandici.com.hk/ics/property/building/details/B000007099/Entrepot-Ctr
Everest Ind Ctr,396 Kwun Tong Road,https://www.midlandici.com.hk/ics/property/building/details/B000007109/Everest-Ind-Ctr
Everwin Ctr,72 Hung To Road,https://www.midlandici.com.hk/ics/property/building/details/B000007897/Everwin-Ctr
First Group Centre (old),14 Wang Tai Road,https://www.midlandici.com.hk/ics/property/building/details/B000018707/First-Group-Centre--old-
Fook Hong Ind Bldg,19 Sheung Yuet Road,https://www.midlandici.com.hk/ics/property/building/details/B000007523/Fook-Hong-Ind-Bldg
Free Trade Ctr,49 Tsun Yip Street,https://www.midlandici.com.hk/ics/property/building/details/B000007101/Free-Trade-Ctr
Fully Ind Bldg,6 Tsun Yip Lane,https://www.midlandici.com.hk/ics/property/building/details/B000019325/Fully-Ind-Bldg
Fun Tower,35 Hung To Road,https://www.midlandici.com.hk/ics/property/building/details/B000076260/Fun-Tower
Fung Yip Ind Bldg,170 Wai Yip Street,https://www.midlandici.com.hk/ics/property/building/details/B000019369/Fung-Yip-Ind-Bldg
Gee Lok Ind Bldg,34 Hung To Road,https://www.midlandici.com.hk/ics/property/building/details/B000019402/Gee-Lok-Ind-Bldg
Gr8 Inno Tech Centre,46 Tsun Yip Street,https://www.midlandici.com.hk/ics/property/building/details/B000093836/Gr8-Inno-Tech-Centre
Hewlett Ctr,52-54 Hoi Yuen Road,https://www.midlandici.com.hk/ics/property/building/details/B000007096/Hewlett-Ctr
High Win Fty Bldg,47 Hoi Yuen Road,https://www.midlandici.com.hk/ics/property/building/details/B000019816/High-Win-Fty-Bldg
Hing Yip Centre,31 Hing Yip Street,https://www.midlandici.com.hk/ics/property/building/details/B000019912/Hing-Yip-Centre
Hoi Bun Ind Bldg,6 Wing Yip Street,https://www.midlandici.com.hk/ics/property/building/details/B000019956/Hoi-Bun-Ind-Bldg
Hoi Luen Ind Ctr Blk A,55 Hoi Yuen Road,https://www.midlandici.com.hk/ics/property/building/details/B000007772/Hoi-Luen-Ind-Ctr-Blk-A
Hoi Luen Ind Ctr Blk B,55 Hoi Yuen Road,https://www.midlandici.com.hk/ics/property/building/details/B000007773/Hoi-Luen-Ind-Ctr-Blk-B
Hong Leong Ind Complex,4 Wang Kwong Road,https://www.midlandici.com.hk/ics/property/building/details/B000020064/Hong-Leong-Ind-Complex
Hope Sea Ind Ctr,26 Lam Hing Street,https://www.midlandici.com.hk/ics/property/building/details/B000007224/Hope-Sea-Ind-Ctr
Horizon Sea,No 33 Hung To Road,https://www.midlandici.com.hk/ics/property/building/details/B000125920/Horizon-Sea
Hung Tai Ind Bldg,37-39 Hung To Road,https://www.midlandici.com.hk/ics/property/building/details/B000007107/Hung-Tai-Ind-Bldg
Hung Tat Ind Bldg,43 Hung To Road,https://www.midlandici.com.hk/ics/property/building/details/B000007108/Hung-Tat-Ind-Bldg
Hung To Ind Bldg,80 Hung To Road,https://www.midlandici.com.hk/ics/property/building/details/B000020210/Hung-To-Ind-Bldg
International Ind Bldg,175 Hoi Bun Road,https://www.midlandici.com.hk/ics/property/building/details/B000059655/International-Ind-Bldg
International Plaza,20 Sheung Yuet Road,https://www.midlandici.com.hk/ics/property/building/details/B000007520/International-Plaza
Jc Tower,91 Wai Yip Street,https://www.midlandici.com.hk/ics/property/building/details/B000059714/Jc-Tower
Jing Hin Ind Bldg,5 Wang Kee Street,https://www.midlandici.com.hk/ics/property/building/details/B000020309/Jing-Hin-Ind-Bldg
Joint Venture Fty Bldg,76 Hung To Road,https://www.midlandici.com.hk/ics/property/building/details/B000020316/Joint-Venture-Fty-Bldg
Jumbo Ind Bldg,189 Wai Yip Street,https://www.midlandici.com.hk/ics/property/building/details/B000020345/Jumbo-Ind-Bldg
Kader Bldg,22 Kai Cheung Road,https://www.midlandici.com.hk/ics/property/building/details/B000020398/Kader-Bldg
Kai Fuk Ind Ctr,1 Wang Tung Street,https://www.midlandici.com.hk/ics/property/building/details/B000007521/Kai-Fuk-Ind-Ctr
Kam Hon Ind Bldg,8 Wang Kwun Road,https://www.midlandici.com.hk/ics/property/building/details/B000020484/Kam-Hon-Ind-Bldg
Kam Mei Lan Ind Bldg,Hoi Yuen Road,https://www.midlandici.com.hk/ics/property/building/details/B000018064/Kam-Mei-Lan-Ind-Bldg
Kenning Ind Bldg,19 Wang Hoi Road,https://www.midlandici.com.hk/ics/property/building/details/B000020624/Kenning-Ind-Bldg
Kinetic Ind Ctr,7 Wang Kwong Road,https://www.midlandici.com.hk/ics/property/building/details/B000020704/Kinetic-Ind-Ctr
King Yip Fty Bldg,59 King Yip Street,https://www.midlandici.com.hk/ics/property/building/details/B000007504/King-Yip-Fty-Bldg
Kingsford Ind Ctr,13 Wang Hoi Road,https://www.midlandici.com.hk/ics/property/building/details/B000020772/Kingsford-Ind-Ctr
Ko Leung Ind Bldg,25 Tai Yip Street,https://www.midlandici.com.hk/ics/property/building/details/B000020818/Ko-Leung-Ind-Bldg
Kowloon Bay Ind Ctr,15 Wang Hoi Road,https://www.midlandici.com.hk/ics/property/building/details/B000007522/Kowloon-Bay-Ind-Ctr
Kras Asia Ind Bldg,79 Hung To Road,https://www.midlandici.com.hk/ics/property/building/details/B000020879/Kras-Asia-Ind-Bldg
Kwong Sang Hong Ctr,151-153 Hoi Bun Road,https://www.midlandici.com.hk/ics/property/building/details/B000007103/Kwong-Sang-Hong-Ctr
Kwun Tong Ind Ctr Blk 1,472-484 Kwun Tong Road,https://www.midlandici.com.hk/ics/property/building/details/B000007779/Kwun-Tong-Ind-Ctr-Blk-1
Kwun Tong Ind Ctr Blk 2,460-470 Kwun Tong Road,https://www.midlandici.com.hk/ics/property/building/details/B000007780/Kwun-Tong-Ind-Ctr-Blk-2
Kwun Tong Ind Ctr Blk 3,448-458 Kwun Tong Road,https://www.midlandici.com.hk/ics/property/building/details/B000007781/Kwun-Tong-Ind-Ctr-Blk-3
Kwun Tong Ind Ctr Blk 4,436-446 Kwun Tong Road,https://www.midlandici.com.hk/ics/property/building/details/B000007782/Kwun-Tong-Ind-Ctr-Blk-4
Lemmi Ctr,50 Hoi Yuen Road,https://www.midlandici.com.hk/ics/property/building/details/B000007805/Lemmi-Ctr
Lladro Building,72 Hoi Yuen Road,https://www.midlandici.com.hk/ics/property/building/details/B000007094/Lladro-Building
Lok Kui Ind Bldg,6-8 Hung To Road,https://www.midlandici.com.hk/ics/property/building/details/B000021376/Lok-Kui-Ind-Bldg
Mai Gar Ind Bldg,146 Wai Yip Street,https://www.midlandici.com.hk/ics/property/building/details/B000021597/Mai-Gar-Ind-Bldg
Mai Tak Ind Bldg,221 Wai Yip Street,https://www.midlandici.com.hk/ics/property/building/details/B000021613/Mai-Tak-Ind-Bldg
Metro Centre Blk 1,32 Lam Hing Street,https://www.midlandici.com.hk/ics/property/building/details/B000007902/Metro-Centre-Blk-1
