transaction_name,matched_building_name,match_score
343 Des Voeux Road West,9 Des Voeux Road West,95.0
Bank Building,Bangkok Bank Building,100.0
Hang Lung Bank Western Branch Building,Bcc Building,80.0
Kwok Ga Building Woo Hop Street,Bcc Building,80.0
168 Connaught Road West,128 Connaught Road Central,81.63265306122449
Lun Fung Court Des Voeux Road West,9 Des Voeux Road West,95.0
Joyful Building Belcher's Street,Bcc Building,80.0
442 Des Voeux Road West,9 Des Voeux Road West,95.0
268 Des Voeux Road West,9 Des Voeux Road West,95.0
363 Des Voeux Road West,9 Des Voeux Road West,95.0
Shun Tai Building First Street,Tai Yau Building,85.71428571428571
Fu Ga Building,Kwong Ga Factory Building,88.0
19 Hau Wo Street,19 Kiu Wong Street,82.35294117647058
Fu Moon Building,Zung Fu Industrial Building,81.48148148148148
1 Castle Road,483D-483E Castle Peak Road,91.66666666666667
Hong Kong Plaza Connaught Road West,Hong Kong Plaza,100.0
Ka Ming Building Belcher's Street,Bcc Building,80.0
259-269Des Voeux Road West,9 Des Voeux Road West,85.1063829787234
The Artisan House Sai Yuen Lane,The Toy House,81.81818181818181
180 Des Voeux Road West,9 Des Voeux Road West,95.0
3 Castle Road,483D-483E Castle Peak Road,91.66666666666667
155-161 Des Voeux Road West,9 Des Voeux Road West,95.0
234-242 Des Voeux Road West,9 Des Voeux Road West,95.0
390-392 Des Voeux Road West,9 Des Voeux Road West,95.0
Tung Cheung Building Second Street,Tai Tung Building,86.66666666666667
Hing Tai Building,Tai Tung Building,88.23529411764706
Kam Kwan Building,Kam Man Fung Factory Building,82.75862068965517
Fung Yu Building Third Street,Bcc Building,80.0
Siu Yee Building,Yue Xiu Building,87.5
One South Lane South Lane,One Island South,80.0
Hon Bong Building Queen's Road West,Bcc Building,80.0
370 Des Voeux Road West,9 Des Voeux Road West,95.0
211 Des Voeux Road West,9 Des Voeux Road West,95.0
Fook Moon Building Centre Street,Fook Yip Building,86.66666666666667
118 Connaught Road West ,128 Connaught Road Central,81.63265306122449
Hoi Tao Building,Hoi Cheung Industrial Building,85.71428571428571
Hang Fai Building,Wing Fai Building,88.23529411764706
Kuen Wah Building,Koon Wah Building,88.23529411764706
Cheung Fat Building,Cheung Fat Building (WD),100.0
Hong Kong Plaza ,Hong Kong Plaza,100.0
Singga Commercial Centre ,Boss Commercial Centre,87.17948717948718
Tung Che Commercial Centre ,Boss Commercial Centre,87.17948717948718
Le Coine Building,Cheong Lee Building,83.33333333333333
202 Centre ,Centre 600,80.0
Kaiser Centre ,Keader Centre,84.61538461538461
Luen Wah Mansion,Luen Fat Mansion (TKW),85.71428571428571
Joyful Building,Bcc Building,80.0
Kenbo Commercial Building ,Prosperous Commercial Building,86.36363636363636
Siu On Building ,Chung On Industrial Building,84.61538461538461
Sunglow Building,Bcc Building,80.0
Kwan Yick Building Phase3,Bcc Building,80.0
Hau Wo Building,Nam Wo Hong Building,84.61538461538461
Hon Bong Building,Long To Building,84.84848484848484
Wealth Building,Bcc Building,80.0
Hoi On Commercial Building ,Tung Hip Commercial Building,88.88888888888889
Kwan Yick Building Phase2,Bcc Building,80.0
Nam Cheong Building,Cheong Lee Building,88.23529411764706
