id,region_id,region_name,subregion_id,subregion,district_id,district,sm_district_id,sm_district,combined_district_id,combined_district,int_district_id,int_district,int_sm_district_id,int_sm_district,estate_id,estate,building_id,building,building_first_op_date,unit,floor,floor_level,floor_level_id,flat,area,net_area,price,tags,tx_date,tx_type,last_tx_date,holding_period,last_price,mkt_type,source,original_source,update_date,gain,transaction_type,url_desc,location
I20250202032,10,Hong Kong Island,1001,Central And Western,100103,Mid-Levels West,10010006,Mid-Levels Central,100103-10010006,Mid-Levels Central,53ND10001,Central And Western,130ND10001,Mid-Levels West,E06900,Panorama Gardens,B000002214,Panorama Gardens,1989-06-22T16:00:00.000Z,U000259475,,Higher Floor,H,D,723,592,25500,['MIDLAND'],2025-03-23T16:00:00.000Z,L,,,,2,MIDLAND,MIDLAND,2025-03-23T23:09:12.000Z,,NORM,https://www.midland.com.hk/en/transaction/Hong-Kong-Island-Mid-Levels-West-Panorama-Gardens-I20250202032,"{'lat': 22.28275, 'lon': 114.14607}"
I20250202051,10,Hong Kong Island,1001,Central And Western,100103,Mid-Levels West,10010005,Mid-Levels West,100103-10010005,Mid-Levels West,53ND10001,Central And Western,130ND10001,Mid-Levels West,E01481,Beaudry Tower,B000002256,Beaudry Tower,1989-10-26T16:00:00.000Z,U000261509,10,Lower Floor,L,C,608,432,7060000,['LANDREG'],2025-03-23T16:00:00.000Z,S,2017-02-15T16:00:00.000Z,8.1,6900000,2,LANDREG,MIDLAND,2025-03-24T23:12:09.000Z,2.32,NORM,https://www.midland.com.hk/en/transaction/Hong-Kong-Island-Mid-Levels-West-Beaudry-Tower-I20250202051,"{'lat': 22.284716, 'lon': 114.145775}"
I20250301317,10,Hong Kong Island,1001,Central And Western,100103,Mid-Levels West,10010006,Mid-Levels Central,100103-10010006,Mid-Levels Central,53ND10001,Central And Western,130ND10001,Mid-Levels West,E07422,Roc Ye Court,B000002354,Roc Ye Court,1990-01-12T16:00:00.000Z,U000267858,,Lower Floor,L,A,1026,792,11980000,['MIDLAND'],2025-03-23T16:00:00.000Z,S,,,,2,MIDLAND,MIDLAND,2025-03-28T07:06:03.000Z,,NORM,https://www.midland.com.hk/en/transaction/Hong-Kong-Island-Mid-Levels-West-Roc-Ye-Court-I20250301317,"{'lat': 22.278938, 'lon': 114.15264}"
NO2025032425032400440027,10,Hong Kong Island,1003,Southern,100303,Residence Bel-Air / Pokfulam,10030002,Residence Bel-Air / Pokfulam,100303-10030002,Residence Bel-Air / Pokfulam,53ND10001,Central And Western,130ND10001,Mid-Levels West,E04427,Jessville,B000097726,Jessville Tower,2019-09-26T16:00:00.000Z,U002990246,10,Higher Floor,H,A,0,1431,27480000,"['LANDREG', 'FIRSTHAND']",2025-03-23T16:00:00.000Z,S,,,,1,LANDREG,LANDREG,2025-03-25T11:08:43.000Z,,NORM,https://www.midland.com.hk/en/transaction/Hong-Kong-Island-Mid-Levels-West-Jessville-NO2025032425032400440027,"{'lat': 22.267429999999997, 'lon': 114.13286}"
NO2025032425032400240072,10,Hong Kong Island,1001,Central And Western,100103,Mid-Levels West,10010006,Mid-Levels Central,100103-10010006,Mid-Levels Central,53ND10001,Central And Western,130ND10001,Mid-Levels West,E05068,Kings Court,B000002474,Kings Court,1976-06-29T16:00:00.000Z,U000821280,22,Higher Floor,H,,0,1273,18200000,['LANDREG'],2025-03-23T16:00:00.000Z,S,2008-12-11T16:00:00.000Z,16.3,9980000,2,LANDREG,LANDREG,2025-03-25T15:06:37.000Z,82.36,NORM,https://www.midland.com.hk/en/transaction/Hong-Kong-Island-Mid-Levels-West-Kings-Court-NO2025032425032400240072,"{'lat': 22.281124, 'lon': 114.149925}"
NO2025032425032400670032,10,Hong Kong Island,1001,Central And Western,100103,Mid-Levels West,10010006,Mid-Levels Central,100103-10010006,Mid-Levels Central,53ND10001,Central And Western,130ND10001,Mid-Levels West,E03374,Goldwin Heights,B000002413,Goldwin Heights,1994-07-03T16:00:00.000Z,U000811669,10,Lower Floor,L,H,0,802,11300000,['LANDREG'],2025-03-23T16:00:00.000Z,S,1999-03-10T16:00:00.000Z,26.1,5300000,2,LANDREG,LANDREG,2025-03-24T23:12:09.000Z,113.21,NORM,https://www.midland.com.hk/en/transaction/Hong-Kong-Island-Mid-Levels-West-Goldwin-Heights-NO2025032425032400670032,"{'lat': 22.281654, 'lon': 114.15001}"
I20250301301,10,Hong Kong Island,1001,Central And Western,100103,Mid-Levels West,10010006,Mid-Levels Central,100103-10010006,Mid-Levels Central,53ND10001,Central And Western,130ND10001,Mid-Levels West,E04406,Jadestone Court,B000002444,Jadestone Court,1991-05-14T16:00:00.000Z,U000270934,,Lower Floor,L,D,450,332,13000,['MIDLAND'],2025-03-22T16:00:00.000Z,L,,,,2,MIDLAND,MIDLAND,2025-03-28T07:06:03.000Z,,NORM,https://www.midland.com.hk/en/transaction/Hong-Kong-Island-Mid-Levels-West-Jadestone-Court-I20250301301,"{'lat': 22.282892999999998, 'lon': 114.149258}"
I20250301890,10,Hong Kong Island,1001,Central And Western,100103,Mid-Levels West,10010006,Mid-Levels Central,100103-10010006,Mid-Levels Central,53ND10001,Central And Western,130ND10001,Mid-Levels West,E000006140,Soho 38,B000051872,Soho 38,2008-08-27T16:00:00.000Z,U001727454,,Lower Floor,L,B,400,269,5250000,['MIDLAND'],2025-03-20T16:00:00.000Z,S,,,,2,MIDLAND,MIDLAND,2025-03-27T11:09:22.000Z,,NORM,https://www.midland.com.hk/en/transaction/Hong-Kong-Island-Mid-Levels-West-Soho-38-I20250301890,"{'lat': 22.280077, 'lon': 114.15127}"
I20250300835,10,Hong Kong Island,1001,Central And Western,100103,Mid-Levels West,10010006,Mid-Levels Central,100103-10010006,Mid-Levels Central,53ND10001,Central And Western,130ND10001,Mid-Levels West,E000007367,The Icon,B000067979,The Icon,2010-11-11T16:00:00.000Z,U001872246,,Lower Floor,L,A,690,452,23000,['MIDLAND'],2025-03-20T16:00:00.000Z,L,,,,2,MIDLAND,MIDLAND,2025-03-28T07:06:03.000Z,,NORM,https://www.midland.com.hk/en/transaction/Hong-Kong-Island-Mid-Levels-West-The-Icon-I20250300835,"{'lat': 22.2804025, 'lon': 114.1497034}"
I20250301322,10,Hong Kong Island,1001,Central And Western,100103,Mid-Levels West,10010006,Mid-Levels Central,100103-10010006,Mid-Levels Central,53ND10001,Central And Western,130ND10001,Mid-Levels West,E07422,Roc Ye Court,B000002354,Roc Ye Court,1990-01-12T16:00:00.000Z,U000267881,10,Lower Floor,L,B,946,736,10480000,['LANDREG'],2025-03-20T16:00:00.000Z,S,2019-09-17T16:00:00.000Z,5.5,13050000,2,LANDREG,MIDLAND,2025-03-23T23:09:18.000Z,-19.69,NORM,https://www.midland.com.hk/en/transaction/Hong-Kong-Island-Mid-Levels-West-Roc-Ye-Court-I20250301322,"{'lat': 22.278938, 'lon': 114.15264}"
